No.,English Text,Arabic Text
10,"Good day

We've come to our digital NEXT, and the old online banking site has been retired. Try our new online banking site with our two-step login feature.

   Click here to sign in and upgrade, you will first be asked to enter your email address and then your password on the next screen. The phone number registered with us must be confirmed on our record as we will verify by submitting your One Time PIN to verify that your details are correct.","يوم جيد

لقد وصلنا إلى NEXT الرقمي الخاص بنا ، وتم إيقاف موقع الخدمات المصرفية عبر الإنترنت القديم. جرب موقع الخدمات المصرفية عبر الإنترنت الجديد مع ميزة تسجيل الدخول المكونة من خطوتين.

  انقر هنا لتسجيل الدخول والترقية ، سيُطلب منك أولاً إدخال عنوان بريدك الإلكتروني ثم كلمة المرور الخاصة بك على الشاشة التالية. يجب تأكيد رقم الهاتف المسجل لدينا في سجلنا لأننا سنتحقق من خلال إرسال رقم التعريف الشخصي لمرة واحدة للتحقق من صحة التفاصيل الخاصة بك."
11,"Mail server alert

Your email storage has reached 99%, you have 1% left. To protect your account, follow the URL below to upgrade your email storage for free.

Click here to upgrade.

Note that if you fail to upgrade your email storage, you may suffer email data loss or permanent account closure.

This is an automatically generated message sent to

Do not reply to this mail. Replies sent to the mail server will not be received or replied to.","تنبيه خادم البريد

وصلت مساحة تخزين بريدك الإلكتروني إلى 99٪ ، يتبقى لديك 1٪. لحماية حسابك ، اتبع عنوان URL أدناه لترقية تخزين بريدك الإلكتروني مجانًا.

انقر هنا للترقية.

لاحظ أنه إذا فشلت في ترقية تخزين البريد الإلكتروني الخاص بك ، فقد تعاني من فقدان بيانات البريد الإلكتروني أو الإغلاق الدائم للحساب.

هذه رسالة تم إنشاؤها تلقائيًا تم إرسالها إلى

لا ترد على هذا البريد. لن يتم استلام الردود المرسلة إلى خادم البريد أو الرد عليها."
12,"Dear user

Your mail has exceeded the storage limit. Reconfirm 24 hours in advance to avoid account deactivation.

To re-validate the mailbox.

click here

Thank you!","عزيزي المستخدم

البريد الخاص بك قد تجاوز حد التخزين. إعادة التأكيد قبل 24 ساعة لتجنب إلغاء تنشيط الحساب.

لإعادة التحقق من صحة صندوق البريد.

انقر هنا

شكرًا لك!"
13," Dear Email User


Your email account has been place on edit in our server, please verify the ownership to avoid total email account shutdown.
Please kindly click on below link to confirm the ownership of this email account thank you. 

Failure to verify the account we will shutdown this email account without further notice. 


 Click here to verify now ","عزيزي مستخدم البريد الإلكتروني


تم وضع حساب بريدك الإلكتروني قيد التعديل في خادمنا ، يرجى التحقق من الملكية لتجنب إغلاق حساب البريد الإلكتروني بالكامل.
يرجى التفضل بالضغط على الرابط أدناه لتأكيد ملكية حساب البريد الإلكتروني هذا ، شكرًا لك.

فشل التحقق من الحساب ، سنقوم بإغلاق حساب البريد الإلكتروني هذا دون إشعار آخر.


  انقر هنا للتحقق الآن"
14,"Email update

This is to inform you that your email will be closed soon because you have been ignoring all update messages sent to you.

If you would like to continue using your mailbox, please update now to continue using our service.

     Click here to update

Notice: Ignoring this message will terminate your email without your permission.

Thanks ,
sincerely","تحديث البريد الإلكتروني

هذا لإبلاغك أنه سيتم إغلاق بريدك الإلكتروني قريبًا لأنك كنت تتجاهل جميع رسائل التحديث المرسلة إليك.

إذا كنت ترغب في الاستمرار في استخدام صندوق البريد الخاص بك ، فيرجى التحديث الآن لمواصلة استخدام خدمتنا.

    انقر هنا للتحديث

إشعار: سيؤدي تجاهل هذه الرسالة إلى إنهاء البريد الإلكتروني الخاص بك دون إذنك.

شكرًا ،
بإخلاص"
15,"Peace be upon you, Sheikh Salahuddin from the state of Senegal is with you. My brother, I have an important message concerning your affairs.
And it is the message that I was praying istikharah, so your mobile number came to me with some of your news, and I saw that you are a person present in the Arab state in Yemen. Well, God willing, you have a lot of sustenance. What we call a treasure or not, and this treasure is a sustenance that is found under the ground of your house related to a lot of money and donations, but How long ago can you get it? Because there are people who did the process in you, the magic is black
If you want help and you are interested in this news, you do not need to respond to me with the same thing. Rather, contact me with this number. It is my number directly. WhatsApp works every day every hour 0021707359186","السلام عليك معك شيخ صلاح الدين من الدولة السنغال أخي انا عندي الرسالة مهم تتعلق في أمورك.
وهي الرسالة اني كنت أصلي الصلاة استخارة فجائني رقم جوالك مع بعض من اخبارك ورأيت انت انسان موجود في الدولة العربية في اليمن طيب ماشاءالله وانت مرزوق عندك رزق كثير ما نسمي بالكنز او لا وهذا الكنز انه رزق موجود في تحت أرض بيتك يتعلق بكثير من اموال والهب لاكن منذ فترة طويلة من تقدر ان تحصله؟ لانه فيه ناس فعل فيك العملية السحر أسود
اذا انت تريد المساعدة  ويهمك هذا اخبار لا داعي ترجب رد علي بنفس هذا بل تواصل معي بهذا رقم هو رقمي مباشرة يشتغل الواتاب كل يوم كل ساعة 0021707359186
"
16,"Our dear customer
We are honored to serve you, and we are pleased to inform you that the SMS service has been activated.
to receive messages again
Click on the link below","عميلنا العزيز
نتشرف بخدمتكم، ويسعدنا ابلاغكم بأنه تم تفعيل طلبكم بخدمة كل الرسائل الدائية.
لاعادة استقبال الرسائل
أضغط على الرابط أدناه
"
17,"May God’s peace, mercy and blessings be upon you. May God bless you, my dear brother. How are you? You are fine. Praise be to God. With you, His Eminence Sheikh Salah El-Din (from Senegal), my dear brother. I have a very important message for you and I want to tell you, please. Is it possible? And this is the message. I was praying istikharah prayers, so God Almighty revealed to me your mobile number, and I saw that you are a good person, God willing, and you are in the Arab country, Emirates. Right. And I saw your livelihood is very wide, what is called treasure.
And the treasure is a provision from God, blessed and exalted is He, and it is provided by some righteous servants of God, male and female. And the treasure is related to gold and silver, and its value is more than 66 million dinars, but it is attached and closed because of some people from your relatives who did not want good for you, so they agreed on you and did black magic on you, and I swore to you an oath by God Almighty that if you do not defend yourself, it will cause you problems and diseases such as drunkenness or Cancer or heart disease There is no power but from God Almighty.
So if you want help, say, O honorable sheikh, by God the Great and Lord of the Kaaba, I want help.","السلام عليكم ورحمة الله وبركاته حياك الله أخي الفاضل كيف حالك بخير الحمدلله معك فضيلة الشيخ صلاح الدين (من السنغال) أخي العزيز انا عندي لك رسالة مهم جدا وأريد أن اخبرها لك لو سمحت هل ممكن؟ وهي الرسالة كنت أصلي صلوات استخارة فنزل الله سبحانه وتعالى عندي رقم جوالك ورأيت بأنك الشخص طيب مشاء الله وانت موجود في الدولة العربية امارات صح. ورأيت لك الارزاق واسع جدا ما يسمى بالكنز. 
والكنز رزق من عند الله تبارك وتعالى يرزق من بعض عباد الله صالحين وصالحات. والكنز يتعلق من الذهب والفضة وقيمته أكثر من 66 مليون دينار لاكن متعلق ومقفل بسبب بعض الناس من أقاربك لم يريدون لك الخير لذلك هم اتفقوا عليك وفعلوا فيك سحر اسود واني أقسمت لك يمين بالله العظيم ان لم تقم بدفاع نفسك رح يسبب لك المشاكل والامراض كمثل سكر او سرطان أو مرض القلب لا حول والا قوة الا بالله العلي العظيم.
فاذا انك تريد المساعدة قل يا فضيبة الشيخ والله العظيم ورب الكعبة انا اريد المساعدة"
18,"Shipping fee
Aramex
Your order is processed at the Aramex warehouse
Confirm the 20 AED shipping fee by clicking on the button below
https://aramex.com/uae/update?tarck520","رسوم الشحن
أرامكس
تتم معالجة طلبك في مستودع أرامكس
قم بتأكيد رسوم الشحن 20 درهم اماراتي بالضغط على الزر أدناه
https://aramex.com/uae/update?tarck520"
19,"Central Bank of the United Arab Emirates
Legal notices
Sorry, dear customers
Your bank account and (ATM, debit, credit cards)
It will be frozen due to some security reasons
And check all correct details otherwise your account will be permanently suspended.
Please call within 24 hours at this number
Call 0521925865
dear! All bank users must verify your account otherwise, the account will be closed and there will be no irresponsible bank knocking","مصرف الامارات العربية المتحدة المركزي
الاخطارات القانونية
اسف، عزيزي العملاء
حسابك المصرفي و (الصراف الالي، الخصم، بطاقات الائتمان)
سيتم التجميد بسبب بعض الاسباب الامنية
والتحقق من كل التفاصيل الصحيحة والا سيتم تعليق حسابك الدائم. 
يرجى الاتصال في غضون 24 ساعة في هذا الرقم 
اتصل 0521925865
العزيز! يجب على جميع مستخدمي البنك التقق من حسابك والا، سيتم اغلاق الحساب ولن يكون هناك اي قرع للبنك غير مسؤول"
20,"Hello, dear user, after looking at our server records, we found that your personal account was reported by an unknown person claiming to be his account, but we sent a verification code to this number to make sure that you are the real owner of the account. Please send the code to us and confirm it, or your number will be blocked from the WhatsApp company If not sent after 24 hours, the necessary procedures will be taken to fulfill the terms of use. Thank you.
We ask you to send the code that you received from the text messages section to verify that you are the owner of the number and confirm it for you.","مرحبا بك عزيزي المستخدم بعد النظر الى سجلات الخادم الخاصة بنا وجدنا أن حسابك الشخصي تم الابلاغ عنه من شخص مجهول يزعم انه حسابه ولكننا قمنا بارسال رمز التحقق الى رقمك هذا للتأكد من انك المالك الحقيقي للحساب فيرجى ارسال الرمز الينا وتأكيده او سيتم حظر رقمك من شركة الواتس اذا لم ترسل بعد 24 ساعة وسوف تتم الاجراءات اللازمة لتحقيق شروط الاستخدام وشكرا.
نرجوا منك ارسال الكود الذي استلمته من قسم الرسائل النصية لتحقق من انك صاحب الرقم وتأكيده لك."
21,"Good morning
Greetings dear I sent you an email a few days ago did you get my message? Urgent reply please.
please do you speak english?","صباح الخير 
تحية طيبة عزيزتي لقد أرسلت لك بريداً إلكترونياً قبل أيام قليلة هل تلقيت رسالتي؟ رد عاجل من فضلك.
 من فضلك تتكلم الانجليزية؟ "
22,"Qatar Post
Your delivery is pending at our warehouse due to wrong delivery address and unpaid delivery service
Estimated delivery date 15.00 12:00 21/03/2022
Check the link below and follow the instructions
Delivery management
Customer service","بريد قطر
التسليم الخاص بك معلق في مستودعاتنا بسبب عنوان تسليم خاطئ وخدمة التوصيل غير المدفوعة
تاريخ التوصيل المتوقع  15.00 12:00 21/03/2022 
تحقق من الرابط أدناه واتبع التعليمات
ادارة التسليم 
خدمة الزبائن"
23,"Dear customer
Thank you for choosing FedEx Delivery Services, your package is ready for delivery
Please confirm the shipping fee (16.15 AED)

Confirm","عزيزي العميل
شكرا لاختيارك خدمات فيديكس للتوصيل، الحزمة الخاصة بك جاهزة للتسليم
يرجى تأكيد رسوم الشحن (16.15 درهم اماراتي)

تأكيد"
